"filename", "language", "Dart", "comment", "blank", "total"
"c:\Dev projects\Flutter\Shoufibokra\lib\consts\app_images.dart", "Dart", 6, 1, 2, 9
"c:\Dev projects\Flutter\Shoufibokra\lib\consts\app_style.dart", "Dart", 14, 1, 4, 19
"c:\Dev projects\Flutter\Shoufibokra\lib\consts\app_urls.dart", "Dart", 11, 1, 2, 14
"c:\Dev projects\Flutter\Shoufibokra\lib\controllers\shared_controllers\auth_services\logged_in_status_controller.dart", "Dart", 16, 0, 3, 19
"c:\Dev projects\Flutter\Shoufibokra\lib\controllers\shared_controllers\auth_services\login_controller.dart", "Dart", 59, 0, 5, 64
"c:\Dev projects\Flutter\Shoufibokra\lib\controllers\shared_controllers\auth_services\signup_controller.dart", "Dart", 58, 0, 4, 62
"c:\Dev projects\Flutter\Shoufibokra\lib\controllers\shared_controllers\theme_controller.dart", "Dart", 23, 0, 5, 28
"c:\Dev projects\Flutter\Shoufibokra\lib\controllers\users_controllers\update_profile_controller.dart", "Dart", 97, 0, 6, 103
"c:\Dev projects\Flutter\Shoufibokra\lib\main.dart", "Dart", 45, 1, 2, 48
"c:\Dev projects\Flutter\Shoufibokra\lib\models\users\user_model.dart", "Dart", 49, 0, 5, 54
"c:\Dev projects\Flutter\Shoufibokra\lib\services\get_storage\get_storage.dart", "Dart", 76, 0, 15, 91
"c:\Dev projects\Flutter\Shoufibokra\lib\services\location_services\getting_location.dart", "Dart", 61, 3, 9, 73
"c:\Dev projects\Flutter\Shoufibokra\lib\utils\bindings\initial_bindings.dart", "Dart", 17, 0, 2, 19
"c:\Dev projects\Flutter\Shoufibokra\lib\utils\helpers\add_sized_box.dart", "Dart", 37, 0, 5, 42
"c:\Dev projects\Flutter\Shoufibokra\lib\utils\helpers\dashed_divider.dart", "Dart", 70, 0, 10, 80
"c:\Dev projects\Flutter\Shoufibokra\lib\utils\helpers\get_snackbar.dart", "Dart", 18, 0, 3, 21
"c:\Dev projects\Flutter\Shoufibokra\lib\utils\helpers\image_helper.dart", "Dart", 59, 0, 5, 64
"c:\Dev projects\Flutter\Shoufibokra\lib\utils\locale\change_language.dart", "Dart", 9, 0, 2, 11
"c:\Dev projects\Flutter\Shoufibokra\lib\utils\locale\storage.dart", "Dart", 5, 0, 2, 7
"c:\Dev projects\Flutter\Shoufibokra\lib\utils\themes\app_themes.dart", "Dart", 256, 0, 2, 258
"c:\Dev projects\Flutter\Shoufibokra\lib\views\pages\organizer\organizer_home.dart", "Dart", 8, 0, 3, 11
"c:\Dev projects\Flutter\Shoufibokra\lib\views\pages\shared_pages\login_page.dart", "Dart", 79, 0, 3, 82
